n2,k_h_mpc,Nmodes,P_raw,W2_at_Rhom,contribution_raw,contribution_clust,fraction_raw
144,0.0125663706143591,30,46264.200962218274,2.796353573393466e-05,1.796820328901285e-10,1.7191438407514662e-10,4.092985556705818e-06
162,0.013328648814475,108,41290.438130770846,7.540776925804205e-06,1.5568099155643146e-10,1.4814021463062725e-10,3.546264696836705e-06
148,0.0127397080524774,24,66794.26918273115,2.089818309671791e-05,1.5509765191024204e-10,1.504536112220825e-10,3.532976775345038e-06
174,0.013813484417568,144,59060.90500555482,3.1474977894753895e-06,1.2392937863293316e-10,1.1973271491363268e-10,2.8229931988040706e-06
165,0.0134514961009288,96,45468.71914917476,6.061127622601689e-06,1.224852042663918e-10,1.170975352685236e-10,2.790096282353704e-06
171,0.0136938848987676,120,52449.23290168553,3.915868495557371e-06,1.1410238818658971e-10,1.0975142319152598e-10,2.5991437169398237e-06
169,0.0136135681655557,78,54836.74537574166,4.529704542190519e-06,8.969792527490957e-11,8.642647199443866e-11,2.0432332977954213e-06
185,0.0142434266094204,192,70650.58406292355,1.4129788536696923e-06,8.873580558251016e-11,8.622384317598627e-11,2.0213171276504578e-06
179,0.0140105483586673,120,67898.15978332919,2.1870614832557226e-06,8.249858335892332e-11,8.006851504419474e-11,1.879239146538591e-06
181,0.0140886021568152,120,72688.00351593002,1.8906851606676541e-06,7.635007200340399e-11,7.424931071377325e-11,1.739181914501537e-06
182,0.0141274673400525,144,58223.11998166938,1.7579168431742732e-06,6.823426885195545e-11,6.589037972772308e-11,1.554311649257719e-06
168,0.0135732315786256,48,62739.92699066683,4.871814723991265e-06,6.792384446561502e-11,6.575859347717446e-11,1.5472404774254326e-06
178,0.0139713579368407,96,59997.77639671127,2.352241351981734e-06,6.272411140768795e-11,6.063323020592641e-11,1.4287955112677144e-06
163,0.0133697233303775,24,77837.8616046087,7.0112459992058514e-06,6.063782175133906e-11,5.907976708484886e-11,1.3812718201496255e-06
160,0.0132461176877281,24,61145.00593994271,8.722839270831137e-06,5.926200655868171e-11,5.732359783183034e-11,1.3499320605661712e-06
189,0.0143965861377924,192,61405.991744557,1.055971286204074e-06,5.7638190296121434e-11,5.576090800953641e-11,1.3129430728387936e-06
186,0.0142818704758578,144,64417.371930744215,1.3137561861635613e-06,5.6419147246942774e-11,5.466747233205803e-11,1.2851744333536099e-06
194,0.0145857740959826,240,57291.7366240917,7.33749245258697e-07,4.670863167498593e-11,4.507807779663327e-11,1.063978138182075e-06
180,0.0140496294620814,72,66306.10707957833,2.033480929799888e-06,4.494406809186396e-11,4.358841413866404e-11,1.023783060558351e-06
177,0.0139320572740744,48,60939.52134780039,2.5298965851366102e-06,3.426015265725773e-11,3.3135754174974794e-11,7.804136437082587e-07
172,0.0137338671295425,24,66550.70115087433,3.640887085380575e-06,2.6922620927026727e-11,2.6113534908053265e-11,6.1327166011288e-07
195,0.0146233179781563,96,70096.7518564563,6.82223663537494e-07,2.125407237937345e-11,2.06476513451179e-11,4.84147523660029e-07
206,0.0150301123919225,240,61223.81344969229,3.062647456893346e-07,2.0834106284779185e-11,2.0153517961025112e-11,4.745810960554863e-07
187,0.014320211136726,48,71663.04062001758,1.2215011655698988e-06,1.9452552810140997e-11,1.890966340322104e-11,4.431106238743943e-07
198,0.014735375693343,120,60954.64385954321,5.483579122610531e-07,1.856942291635285e-11,1.7960136347173906e-11,4.229937661016403e-07
184,0.014204878699472,48,54982.52330578396,1.5196954061527108e-06,1.8568152908107608e-11,1.7892732727595294e-11,4.2296483652353464e-07
176,0.0138926454347924,24,61042.63290174471,2.7209693963135308e-06,1.845501511067209e-11,1.7850355244824636e-11,4.2038766526510254e-07
197,0.0146981180466321,120,48924.679186320274,5.897731576281626e-07,1.6030256960922752e-11,1.5374953452447013e-11,3.6515398426875404e-07
201,0.014846587653655,144,54412.24848296131,4.4075926416867286e-07,1.5988468402075344e-11,1.5400789383183777e-11,3.642020807030671e-07
209,0.0151391593771754,240,57171.65252935512,2.461695562926232e-07,1.563768926185264e-11,1.509064580342459e-11,3.562116660164572e-07
200,0.0148096097938612,84,80157.74431211822,4.740480207731048e-07,1.4777241126976318e-11,1.4408537110819457e-11,3.3661147710665813e-07
190,0.0144346220987633,48,54061.44041655087,9.818185219538847e-07,1.179522744988355e-11,1.135886366234849e-11,2.686840460000477e-07
203,0.0149202684419593,96,60535.41790382957,3.8103044041991576e-07,1.0251483086622149e-11,9.912789361804446e-12,2.3351901986781017e-07
196,0.0146607657167523,54,62434.93636598293,6.343163282252968e-07,9.900874897162587e-12,9.583716733049939e-12,2.2553249927674887e-07
193,0.0145481333258877,48,55913.83464728624,7.891663448407102e-07,9.805625892139275e-12,9.454885294432292e-12,2.2336281766985497e-07
205,0.014993587155934,96,64440.21263977975,3.2939567770733065e-07,9.43392333959322e-12,9.141127181631147e-12,2.1489578758069756e-07
202,0.0148834736425639,72,47333.7072434907,4.098081216195401e-07,6.465912551581382e-12,6.192707137168355e-12,1.4728732894917846e-07
